KSIC_코드,KSIC_대분류코드,KSIC_대분류명,KSIC_중분류코드,KSIC_중분류명,KSIC_소분류코드,KSIC_소분류명,KSIC_세분류코드,KSIC_세분류명,KSIC_세세분류명,embedding_text
01110,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0111,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 곡물 및 기타 식량작물 재배업"
01121,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 채소, 화훼작물 및 종묘 재배업 > 채소작물 재배업"
01122,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 채소, 화훼작물 및 종묘 재배업 > 화훼작물 재배업"
01123,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 채소, 화훼작물 및 종묘 재배업 > 종자 및 묘목 생산업"
01131,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0113,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 과실, 음료용 및 향신용 작물 재배업 > 과실작물 재배업"
01132,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0113,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 과실, 음료용 및 향신용 작물 재배업 > 음료용 및 향신용 작물 재배업"
01140,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0114,기타 작물 재배업,기타 작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 기타 작물 재배업"
01151,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0115,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업","농업, 임업 및 어업 > 농업 > 작물 재배업 > 시설작물 재배업 > 채소, 화훼 및 과실작물 시설 재배업"
01159,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0115,시설작물 재배업,기타 시설작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 시설작물 재배업 > 기타 시설작물 재배업"
01211,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,젖소 사육업,"농업, 임업 및 어업 > 농업 > 축산업 > 소 사육업 > 젖소 사육업"
