KSIC코드,업종명,레벨,정의,예시,제외
01,농업,중분류,"작물재배업, 축산업, 작물재배 및 축산 복합농업, 작물재배 및 축산 관련 서비스업과 수렵업 및 수렵 관련 서비스업을 포함한다.",,
011,작물 재배업,소분류,"노지 또는 특정 시설 내에서 작물 및 종자를 재배․생산하는 산업활 동을 말한다. 버섯, 송로, 딸기 및 견과 등의 식용 가능한 야생식물을",,
01110,곡물 및 기타 식량작물 재배업,세세분류,"곡물작물, 식량용 뿌리작물, 콩과 작물 및 기타 식량작물을 재배하는 산업활동을 말한다.","벼, 보리, 밀, 수수 재배 / 감자, 고구마 재배 / 메밀 재배 / 옥수수, 콩, 녹두 재배","작물의 종묘 생산(01123) / 시설작물 재배(0115) / 사료용 작물 재배(01140) / 과실, 견과, 음료용 또는 향신용 작물 재배(0113)"
0112,"채소, 화훼작물 및 종묘 재배업",세분류,"노지에서 채소작물, 화훼작물을 재배하거나 노지 또는 시설에서 각종 의 종자 및 종묘를 생산하는 산업활동을 말한다.",,"곡물, 전분 또는 이눌린을 다량 함유한 뿌리작물 재배(01110) / 시설 내에서 채소 및 화훼작물 재배(01151) / 농업, 임업 및 어업 ， / 임업용 종묘 생산(02011) 임"
01121,채소작물 재배업,세세분류,노지에서 각종 채소작물을 재배하는 산업활동을 말한다. 노지에서 깻,"풋마늘, 마늘 및 풋고추 재배 / 파 및 양파 재배 / 아스파라거스 재배 / 참외, 수박 및 멜론, 딸기, 토마토 등 과일채소 재배 / 잎채소 재배","채소작물 종자 및 묘목 생산(01123) / 커피, 코코아, 차, 겨자, 붉은 고추 등의 음료용 또는 향신용 작물 / 재배(01132) / 콩나물, 버섯 및 기타 채소작물의 시설재배(0115)"
01122,화훼작물 재배업,세세분류,"노지에서 화초, 잔디, 관상수 등과 같은 장식, 관상, 조원 및 조경용의 수목․ 꽃․풀 등을 재배하는 산업활동을 말한다.",정원수 재배 / 조원용 풀 재배 / 절화용 화초 재배 / 분재 재배,화훼작물의 종자 및 묘목 생산(01123) / 대분류 A / 화훼작물의 시설재배(01151) / 공원에 화훼작물 식재 및 관리 활동(74300)
01123,종자 및 묘목 생산업,세세분류,"노지 또는 시설에서 각종 농작물의 종자, 버섯 종균, 묘목 등을 생산 하는 산업활동을 말한다.","채소, 화초, 과수 종자 생산 / 채소, 화초, 과수 묘목 생산 / 버섯 종균 생산 / 접수 및 삽수 묘목 생산 / 화초 종근 생산 / 벼 모판 생산",육림용 종자 및 묘목 생산(02011) / 종균 없는 버섯재배용 배지 혼합 / 발효생산(33999) / 종균 없는 버섯재배용 배지 단순 혼합 생산 / 판매(G) / 공원에 화훼작물 식재 및 관리 활동(74300)
0113,"과실, 음료용 및 향신용 작물 재배업",세분류,"노지에서 견과(땅콩 제외)를 포함한 각종 과실작물과 커피, 차, 생강 등의 음료용 또는 향신용 작물을 재배하는 산업활동을 말한다.",,"시설 내에서 과실, 음료용 및 향신용 작물을 재배하는 경우(0115)"
01131,과실작물 재배업,세세분류,노지에서 견과(땅콩 제외)를 포함한 각종 과실작물을 재배하는 산업 활동을 말한다. 음료용 및 향신용 작물 재 음료용 및 향신용 작물 재 01132 01132 배업 배업,"농업, 임업 및 어업 ， / 밤, 호두 및 대추 재배 / 복숭아, 포도 및 감귤 재배 임 / 바나나 재배 / 키위 및 망고스틴 재배 / 무화과 재배 어","호프 재배(01140) / 낙화생(땅콩) 재배(01140) / 유지(기름 추출용) 작물 재배(01140) / 멜론, 수박, 토마토 및 기타 과일채소 노지재배(01121)"
01132,음료용 및 향신용 작물 재배업,세세분류,노지에서 음료용 또는 향신용 작물을 재배하는 산업활동을 말한다.,고추(풋고추 제외) 재배 / 생강 재배 / 정향 재배 / 녹차용 작물 재배 / 커피 재배 / 코코아 재배,"커피 가공(10891), 차류 가공(10892) / 향신료 가공(1083)"
