색인어,KSIC코드,KSIC명,레벨,신뢰도,출처
CD 드라이브 제조,26321,기억 장치 제조업,세세분류,MED,haeseolseo
X선 장치 제조,27111,방사선 장치 제조업,세세분류,MED,haeseolseo
가감 저항기 제조,26292,전자저항기 및 전자카드 제조업,세세분류,MED,haeseolseo
가공 홀더 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
가공염 제조,20492,가공 및 정제염 제조업,세세분류,MED,haeseolseo
가금 고기 커틀릿 제조,10121,가금류 가공 및 저장 처리업,세세분류,MED,haeseolseo
가금 고기 통조림 제조,10121,가금류 가공 및 저장 처리업,세세분류,MED,haeseolseo
가금 고기 햄 제조,10121,가금류 가공 및 저장 처리업,세세분류,MED,haeseolseo
가금 고기 훈제품 제조,10121,가금류 가공 및 저장 처리업,세세분류,MED,haeseolseo
가눈썹 제조,33931,가발 및 유사 제품 제조업,세세분류,MED,haeseolseo
가단철 주물 주조,24311,선철 주물 주조업,세세분류,MED,haeseolseo
가당음료 생산,11209,기타 비알코올 음료 제조업,세세분류,MED,haeseolseo
가로등 제조,28422,일반용 전기 조명장치 제조업,세세분류,MED,haeseolseo
가마니 제조,16300,코르크 및 조물 제품 제조업,세세분류,MED,haeseolseo
가변 저항기 제조,26292,전자저항기 및 전자카드 제조업,세세분류,MED,haeseolseo
가소홀 제조,19229,기타 석유 정제물 재처리업,세세분류,MED,haeseolseo
"가솔린, 경유, 등유 제조",19210,원유 정제처리업,세세분류,MED,haeseolseo
가수염 제조,33931,가발 및 유사 제품 제조업,세세분류,MED,haeseolseo
가스 경보기 제조,28901,전기 경보 및 신호장치 제조업,세세분류,MED,haeseolseo
가스 마스크 제조,27199,그 외 기타 의료용 기기 제조업,세세분류,MED,haeseolseo
가스 및 액체 분석계기 제조,27216,산업 처리공정 제어장비 제조업,세세분류,MED,haeseolseo
가스 발생기 제조,29177,"증류기, 열 교환기 및 가스 발생기 제조업",세세분류,MED,haeseolseo
가스 자동절단기 제조,29199,그 외 기타 일반목적용 기계 제조업,세세분류,MED,haeseolseo
가스 적산계기 제조,27214,속도계 및 적산계기 제조업,세세분류,MED,haeseolseo
가스 충전기 제조,29191,"용기 세척, 포장 및 충전기 제조업",세세분류,MED,haeseolseo
가스 터빈 제조,29119,기타 기관 및 터빈 제조업,세세분류,MED,haeseolseo
가스 펌프 제조,29132,기체 펌프 및 압축기 제조업,세세분류,MED,haeseolseo
가스버너 조정장치 제조,27215,기기용 자동 측정 및 제어장치 제조업,세세분류,MED,haeseolseo
가스총 제조,25200,무기 및 총포탄 제조업,세세분류,MED,haeseolseo
가스킷 제조,29199,그 외 기타 일반목적용 기계 제조업,세세분류,MED,haeseolseo
가시 있는 금속선 제조,25944,금속선 가공제품 제조업,세세분류,MED,haeseolseo
가연사 제조,13104,연사 및 가공사 제조업,세세분류,MED,haeseolseo
가용성 녹말 제조,10520,전분제품 및 당류 제조업,세세분류,MED,haeseolseo
가운류 제조,14199,그 외 기타 봉제의복 제조업,세세분류,MED,haeseolseo
가정용 가상 현실 기 제조,26519,비디오 및 기타 영상 기기 제조업,세세분류,MED,haeseolseo
가정용 고체 또는 반고체상의 착화 연료 및 합성 연료 제조,33992,"라이터, 연소물 및 흡연용품 제조업",세세분류,MED,haeseolseo
"가정용 냉장고, 냉동고 제조",28511,주방용 전기 기기 제조업,세세분류,MED,haeseolseo
가정용 디지털 카메라 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
가정용 모피제품 제조,14200,모피제품 제조업,세세분류,MED,haeseolseo
가정용 비디오 제조,26519,비디오 및 기타 영상 기기 제조업,세세분류,MED,haeseolseo
가정용 살균 소독기 제조,28519,기타 가정용 전기 기기 제조업,세세분류,MED,haeseolseo
가정용 전기 오븐 제조,28511,주방용 전기 기기 제조업,세세분류,MED,haeseolseo
가정용 조명기구 제조,28422,일반용 전기 조명장치 제조업,세세분류,MED,haeseolseo
가정용 토기제품 제조,23221,가정용 및 장식용 도자기 제조업,세세분류,MED,haeseolseo
"가정용, 공중위생용 화학 살균 및 소독제 제조",20313,유기질 비료 및 상토 제조업,세세분류,MED,haeseolseo
가죽 격막 제조,15190,기타 가죽제품 제조업,세세분류,MED,haeseolseo
가죽 구두 제조,15211,구두류 제조업,세세분류,MED,haeseolseo
가죽 시곗줄 제조,15190,기타 가죽제품 제조업,세세분류,MED,haeseolseo
가죽 호스 제조,15190,기타 가죽제품 제조업,세세분류,MED,haeseolseo
가축용 배합사료 제조,10902,배합사료 제조업,세세분류,MED,haeseolseo
가향 조제주 제조,11129,기타 증류주 및 합성주 제조업,세세분류,MED,haeseolseo
가향한 목욕용 염 제조,20423,화장품 제조업,세세분류,MED,haeseolseo
간판 도장공용 물감 제조,20413,인쇄 잉크 및 회화용 물감 제조업,세세분류,MED,haeseolseo
감광 전자 감지장치 제조,26294,전자 감지장치 제조업,세세분류,MED,haeseolseo
감광성 사진 인화지 및 판지 제조,20491,감광 재료 및 관련 화학제품 제조업,세세분류,MED,haeseolseo
"감광성 사진 플레이트, 사진 필름 및 인스턴트 프린트 필름 제조",20491,감광 재료 및 관련 화학제품 제조업,세세분류,MED,haeseolseo
감량저울 제조,27219,"기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업",세세분류,MED,haeseolseo
감미용 조제품 제조,10839,기타 식품 첨가물 제조업,세세분류,MED,haeseolseo
감압 밸브 및 온도 제어식 밸브 제조,29133,"탭, 밸브 및 유사 장치 제조업",세세분류,MED,haeseolseo
"감자, 고구마 재배",01110,곡물 및 기타 식량작물 재배업,세세분류,MED,haeseolseo
강 반제품 제조,24112,제강업,세세분류,MED,haeseolseo
강 주물 주조,24312,강 주물 주조업,세세분류,MED,haeseolseo
