구코드_10차,신코드_11차,항목명,관계
01152,01151,"채소, 화훼 및 과실작물 시설 재배업",1:1_코드변경
10401,10411,동물성 유지 제조업,1:1_코드변경
10402,10412,식물성 유지 제조업,1:1_코드변경
10403,10413,식용 정제유 및 가공유 제조업,1:1_코드변경
10501,10421,액상시유 및 기타 낙농제품 제조업,1:1_코드변경
10502,10422,아이스크림 및 기타 식용빙과류 제조업,1:1_코드변경
10611,10511,곡물 도정업,1:1_코드변경
10612,10512,곡물 제분업,1:1_코드변경
10613,10513,곡물 혼합분말 및 반죽 제조업,1:1_코드변경
10619,10519,기타 곡물 가공품 제조업,1:1_코드변경
10620,10520,전분제품 및 당류 제조업,1:1_코드변경
10711,10601,떡류 제조업,1:1_코드변경
10712,10602,빵류 제조업,1:1_코드변경
10713,10603,과자류 및 코코아 제품 제조업,1:1_코드변경
10720,10810,설탕 제조업,1:1_코드변경
10730,10820,"면류, 마카로니 및 유사식품 제조업",1:1_코드변경
10741,10831,"식초, 발효 및 화학 조미료 제조업",1:1_코드변경
10742,10832,천연 및 혼합조제 조미료 제조업,1:1_코드변경
10743,10833,장류 제조업,1:1_코드변경
10749,10839,기타 식품 첨가물 제조업,1:1_코드변경
10751,10701,도시락류 제조업,1:1_코드변경
10759,10709,기타 식사용 가공처리 조리식품 제조업,1:1_코드변경
10791,10891,커피 가공업,1:1_코드변경
10792,10892,차류 가공업,1:1_코드변경
10793,10893,수프 및 균질화식품 제조업,1:1_코드변경
10794,10894,두부 및 유사식품 제조업,1:1_코드변경
10795,10895,인삼식품 제조업,1:1_코드변경
10796,10896,건강보조용 액화식품 제조업,1:1_코드변경
10797,10897,건강기능식품 제조업,1:1_코드변경
10799,10899,그 외 기타 식료품 제조업,1:1_코드변경
10801,10902,배합 사료 제조업,1:1_코드변경
10802,10903,단미사료 및 기타 사료 제조업,1:1_코드변경
17110,17101,펄프 제조업,1:1_코드변경
17121,17102,신문용지 제조업,1:1_코드변경
17122,17103,인쇄용 및 필기용 원지 제조업,1:1_코드변경
17123,17105,크라프트지 및 기타 상자용 판지 제조업,N:1_통합
17124,17904,"적층, 합성 및 특수 표면처리 종이 제조업",1:1_코드변경
17125,17106,위생용 원지 제조업,1:1_코드변경
17129,17109,기타 종이 및 판지 제조업,1:1_코드변경
19101,19100,코크스 및 연탄 제조업,N:1_통합
19102,19100,코크스 및 연탄 제조업,N:1_통합
21101,21100,기초 의약 물질 제조업,N:1_통합
21102,21100,기초 의약 물질 제조업,N:1_통합
21210,21211|21212,완제 의약품 제조업,1:N_확인필요
21300,21309,그 외 기타 의료용품 및 의약 관련제품 제조업,N:1_통합
22111,22110,고무 타이어 및 튜브 제조업,N:1_통합
22112,22110,고무 타이어 및 튜브 제조업,N:1_통합
24322,24329,기타 비철금속 주조업,N:1_통합
26295,26294,전자감지장치 제조업,1:1_코드변경
27302,27309,기타 광학기기 및 사진기 제조업,N:1_통합
27400,27220,시계 및 시계부품 제조업,1:1_코드변경
28114,28113,에너지 저장장치 제조업,1:1_코드변경
29194,29193,동력식 수지공구 제조업,1:1_코드변경
29294,29293,주형 및 금형 제조업,1:1_코드변경
31920,31921,모터사이클 제조업,1:1_코드변경
33202,33209,기타 악기 및 전자 악기 제조업,N:1_통합
42133,42191,조적 및 석공사업,1:1_코드변경
42134,42192,포장 공사업,1:1_코드변경
42135,42193,철도궤도 전문공사업,1:1_코드변경
42136,42194,수중 공사업,1:1_코드변경
42137,42195,비계 및 형틀 공사업,1:1_코드변경
42138,42196,"지붕, 내ㆍ외벽 축조 관련 전문 공사업",1:1_코드변경
42139,42199,기타 옥외 시설물 축조 관련 전문공사업,1:1_코드변경
47216,47221,"빵류, 과자류 및 당류 소매업",1:1_코드변경
47217,47222,건강 보조식품 소매업,1:1_코드변경
47218,47223,조리 반찬류 소매업,1:1_코드변경
49303,49302,개인 화물자동차 운송업,N:1_통합
50202,50201,항만 내 여객 운송업,1:1_코드변경
56192,56161,"피자, 햄버거, 샌드위치 및 유사 음식점업",1:1_코드변경
56193,56162,치킨 전문점,1:1_코드변경
56194,56191,김밥 및 기타 간이 음식점업,1:1_코드변경
65131,84611,건강보험업,1:1_코드변경
65139,84619,산업 재해 및 기타 사회보장보험업,1:1_코드변경
65303,84620,연금업,1:1_코드변경
71393,71392,"광고물 문안, 도안, 설계 등 작성업",1:1_코드변경
72924,72923,지질 조사·탐사 및 지도 제작업,N:1_통합
75912,75911,문서 작성 및 복사업,N:1_통합
90192,90199,그 외 기타 창작 및 예술관련 서비스업,N:1_통합
