국세청코드,KSIC코드,KSIC명
011000,01110,곡물 및 기타 식량작물 재배업
011001,01121,채소작물 재배업
011002,01122,화훼작물 재배업
011003,01123,종자 및 묘목 생산업
011004,01131,과실작물 재배업
011005,01132,음료용 및 향신용 작물 재배업
011006,01140,기타 작물 재배업
011007,01159,기타 시설작물 재배업
011008,01151,"채소, 화훼 및 과실작물 시설 재배업"
011009,01159,기타 시설작물 재배업
012101,01212,육우 사육업
012102,01291,말 및 양 사육업
012103,01299,그 외 기타 축산업
012104,01211,젖소 사육업
012105,01299,그 외 기타 축산업
012201,01220,양돈업
012202,01231,양계업
012203,01239,기타 가금류 및 조류 사육업
012204,01299,그 외 기타 축산업
014300,01420,축산 관련 서비스업
014301,01300,작물재배 및 축산 복합농업
014302,01411,작물재배 지원 서비스업
014303,01412,"농산물 건조, 선별 및 기타 수확 후 서비스업"
015000,01500,수렵 및 관련 서비스업
020100,02011,임업용 종묘 생산업
020101,02012,육림업
020102,02030,임산물 채취업
020200,02020,벌목업
020300,02040,임업 관련 서비스업
051102,03112,연근해 어업
051104,03111,원양 어업
051200,03120,내수면 어업
052101,03211,해수면 양식 어업
052103,03212,내수면 양식 어업
052104,03213,수산물 부화 및 수산 종자 생산업
052200,03220,어업 관련 서비스업
101000,05100,석탄 광업
101001,07290,그 외 기타 비금속광물 광업
131000,06100,철 광업
131003,06200,비철금속 광업
132002,06200,비철금속 광업
132003,06200,비철금속 광업
141001,07121,건설용 석재 채굴 및 쇄석 생산업
141002,07110,석회석 및 점토 광업
141003,07121,건설용 석재 채굴 및 쇄석 생산업
141004,07122,모래 및 자갈 채취업
141006,07122,모래 및 자갈 채취업
142101,07290,그 외 기타 비금속광물 광업
142102,07210,화학용 및 비료 원료용 광물 광업
142104,07210,화학용 및 비료 원료용 광물 광업
142200,07220,천일염 생산 및 암염 채취업
142902,07290,그 외 기타 비금속광물 광업
142909,05200,원유 및 천연가스 채굴업
142910,08000,광업 지원 서비스업
143101,06200,비철금속 광업
143103,06100,철 광업
143106,05100,석탄 광업
143107,07110,석회석 및 점토 광업
143107,07121,건설용 석재 채굴 및 쇄석 생산업
143107,07122,모래 및 자갈 채취업
143107,07210,화학용 및 비료 원료용 광물 광업
143107,07290,그 외 기타 비금속광물 광업
143200,76400,무형 재산권 임대업
151101,10111,육류 도축업(가금류 제외)
151102,10121,가금류 가공 및 저장 처리업
151103,10112,가금류 도축업
151104,10122,육류 포장육 및 냉동육 가공업(가금류 제외)
151105,10129,육류 기타 가공 및 저장 처리업(가금류 제외)
151200,10212,수산동물 건조 및 염장품 제조업
151201,10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업"
151202,10213,수산동물 냉동품 제조업
151203,10219,기타 수산동물 가공 및 저장 처리업
151301,10301,김치류 제조업
151302,10309,기타 과실ㆍ채소 가공 및 저장 처리업
151304,10302,과실 및 그 외 채소 절임식품 제조업
151400,10412,식물성 유지 제조업
151401,10411,동물성 유지 제조업
151402,10413,식용 정제유 및 가공유 제조업
152001,10421,액상 시유 및 기타 낙농제품 제조업
152002,10421,액상 시유 및 기타 낙농제품 제조업
152003,10422,아이스크림 및 기타 식용 빙과류 제조업
153101,10519,기타 곡물 가공품 제조업
153102,10511,곡물 도정업
153103,10512,곡물 제분업
153104,10901,반려동물용 사료 제조업
153104,10903,단미사료 및 기타 사료 제조업
153105,10520,전분제품 및 당류 제조업
153106,10513,곡물 혼합 분말 및 반죽 제조업
153107,10701,도시락류 제조업
153202,10520,전분제품 및 당류 제조업
153300,10901,반려동물용 사료 제조업
153300,10902,배합사료 제조업
153301,10901,반려동물용 사료 제조업
153301,10903,단미사료 및 기타 사료 제조업
154101,10601,떡류 제조업
154102,10603,과자류 및 코코아 제품 제조업
154103,10709,기타 식사용 가공처리 조리식품 제조업
154104,10602,빵류 제조업
154200,10810,설탕 제조업
154400,10820,"면류, 마카로니 및 유사 식품 제조업"
154501,10832,천연 및 혼합 조제 조미료 제조업
154502,10833,장류 제조업
154503,10831,"식초, 발효 및 화학 조미료 제조업"
154509,10839,기타 식품 첨가물 제조업
154801,10511,곡물 도정업
154802,10512,곡물 제분업
154803,10111,육류 도축업(가금류 제외)
154803,10112,가금류 도축업
154804,10121,가금류 가공 및 저장 처리업
154804,10122,육류 포장육 및 냉동육 가공업(가금류 제외)
154804,10213,수산동물 냉동품 제조업
154804,10309,기타 과실ㆍ채소 가공 및 저장 처리업
154805,10411,동물성 유지 제조업
154805,10412,식물성 유지 제조업
154805,10212,수산동물 건조 및 염장품 제조업
154805,10220,수산식물 가공 및 저장 처리업
154805,10309,기타 과실ㆍ채소 가공 및 저장 처리업
154805,10519,기타 곡물 가공품 제조업
154805,10896,건강 보조용 액화식품 제조업
154806,10512,곡물 제분업
154901,10891,커피 가공업
154902,10894,두부 및 유사 식품 제조업
154903,10896,건강 보조용 액화식품 제조업
154904,10220,수산식물 가공 및 저장 처리업
154905,10892,차류 가공업
154906,10895,인삼식품 제조업
154907,10893,수프 및 균질화식품 제조업
154908,10897,건강 기능식품 제조업
154909,10899,그 외 기타 식료품 제조업
155101,11121,주정 제조업
155102,11122,소주 제조업
155103,11129,기타 증류주 및 합성주 제조업
155201,11111,탁주 및 약주 제조업
155202,11111,탁주 및 약주 제조업
155203,11119,기타 발효주 제조업
155300,11112,맥아 및 맥주 제조업
155401,11209,기타 비알코올 음료 제조업
155402,11209,기타 비알코올 음료 제조업
155403,11202,생수 생산업
155404,11201,얼음 제조업
160000,12000,담배제품 제조업
171101,13103,화학섬유 방적업
171102,13101,면 방적업
171104,13102,모 방적업
171105,13104,연사 및 가공사 제조업
171106,13103,화학섬유 방적업
171107,13103,화학섬유 방적업
171108,13103,화학섬유 방적업
171109,13213,화학섬유직물 직조업
171110,13109,기타 방적업
171112,13212,모직물 직조업
171114,13109,기타 방적업
171115,13211,면직물 직조업
171116,13219,특수직물 및 기타 직물 직조업
