KSIC코드,유형,업종,예외메모,근거
33409,부분,도박기계 및 사행성·불건전 오락기구 제조업,,소상공인정책자금2024
46102,부분,담배 중개업,,소상공인정책자금2024
46209,부분,잎담배 도매업,,소상공인정책자금2024
46333,전체,담배 도매업(전자담배 포함),,소상공인정책자금2024
46463,부분,도박기계 및 사행성·불건전 오락기구 도매업,,소상공인정책자금2024
47640,부분,도박기계 및 사행성·불건전 오락기구 소매업,,소상공인정책자금2024
47811,부분,약국·한약국,,소상공인정책자금2024
47859,부분,성인용품 판매점,,소상공인정책자금2024
47911,부분,도박·성인용품 소매중개업,,소상공인정책자금2024
47912,부분,도박·성인용품 소매업,,소상공인정책자금2024
47993,부분,다단계 방문판매,다단계판매업 등록 영위 시 신청가능,소상공인정책자금2024
52991,부분,통관업(관세사·관세법인 등),,소상공인정책자금2024
56211,전체,일반유흥주점업,,소상공인정책자금2024
56212,전체,무도유흥주점업,,소상공인정책자금2024
5821,부분,도박·사행성 게임 SW 개발 및 공급업,,소상공인정책자금2024
63999,부분,온라인게임 아이템 중개업,,소상공인정책자금2024
64,전체,금융업,,소상공인정책자금2024
65,전체,보험 및 연금업,,소상공인정책자금2024
66,전체,금융 및 보험관련 서비스업,,소상공인정책자금2024
68,전체,부동산업,6821·68221(6개월+)·68112(공유오피스/주방) 신청가능,소상공인정책자금2024
76390,부분,도박기계 및 사행성·불건전 오락기구 임대업,,소상공인정책자금2024
711,전체,법무관련 서비스업,,소상공인정책자금2024
712,전체,회계 및 세무관련 서비스업,,소상공인정책자금2024
731,전체,수의업,,소상공인정책자금2024
73904,부분,감정평가업,,소상공인정책자금2024
75330,부분,흥신소,,소상공인정책자금2024
75993,전체,신용조사 및 추심대행업,,소상공인정책자금2024
75999,부분,경품용 상품권 발행·판매업,,소상공인정책자금2024
86,전체,보건업,86902(유사의료업) 신청가능,소상공인정책자금2024
91113,전체,경주장 및 동물 경기장 운영업,,소상공인정책자금2024
91121,전체,골프장 운영업,,소상공인정책자금2024
9122,부분,성인용게임장·성인오락실·성인PC방·전화방,,소상공인정책자금2024
91249,전체,기타 사행시설 관리 및 운영업,,소상공인정책자금2024
91291,전체,무도장 운영업,,소상공인정책자금2024
9612,부분,증기탕 및 안마시술소,시각장애인 운영 안마원/시술소 신청가능,소상공인정책자금2024
96992,전체,점술 및 유사서비스업,,소상공인정책자금2024
96999,부분,휴게텔·키스방·대화방,,소상공인정책자금2024
