business_code,biz_large_codes,biz_large_names,biz_middle_codes,biz_middle_names,biz_small_codes,biz_small_names,biz_sub_codes,biz_sub_names,biz_detail_names,linked_ksic_codes,linked_ksic_names,main_ksic_codes,main_ksic_names,main_relation_values,detail_descriptions,source_row_count,embedding_text
011000,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,01110,곡물 및 기타 식량작물 재배업,,,,,1,"업종코드: 011000
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물 재배업
업종 세분류: 곡물 및 기타 식량작물 재배업
업종 세세분류 및 활동명: 곡물 및 기타 식량작물 재배업
연계 KSIC 11차 코드: 01110
연계 KSIC 11차 분류명: 곡물 및 기타 식량작물 재배업"
011001,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,01121,채소작물 재배업,,,,,1,"업종코드: 011001
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물 재배업
업종 세분류: 채소, 화훼작물 및 종묘 재배업
업종 세세분류 및 활동명: 채소작물 재배업
연계 KSIC 11차 코드: 01121
연계 KSIC 11차 분류명: 채소작물 재배업"
011002,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업,01122,화훼작물 재배업,,,,,1,"업종코드: 011002
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물 재배업
업종 세분류: 채소, 화훼작물 및 종묘 재배업
업종 세세분류 및 활동명: 화훼작물 재배업
연계 KSIC 11차 코드: 01122
연계 KSIC 11차 분류명: 화훼작물 재배업"
011003,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업,01123,종자 및 묘목 생산업,,,,,1,"업종코드: 011003
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물 재배업
업종 세분류: 채소, 화훼작물 및 종묘 재배업
업종 세세분류 및 활동명: 종자 및 묘목 생산업
연계 KSIC 11차 코드: 01123
연계 KSIC 11차 분류명: 종자 및 묘목 생산업"
011004,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업,01131,과실작물 재배업,,,,,1,"업종코드: 011004
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물 재배업
업종 세분류: 과실, 음료용 및 향신용 작물 재배업
업종 세세분류 및 활동명: 과실작물 재배업
연계 KSIC 11차 코드: 01131
연계 KSIC 11차 분류명: 과실작물 재배업"
011005,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업,01132,음료용 및 향신용 작물 재배업,,,,,1,"업종코드: 011005
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물 재배업
업종 세분류: 과실, 음료용 및 향신용 작물 재배업
업종 세세분류 및 활동명: 음료용 및 향신용 작물 재배업
연계 KSIC 11차 코드: 01132
연계 KSIC 11차 분류명: 음료용 및 향신용 작물 재배업"
011006,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,기타 작물 재배업,기타 작물 재배업,01140,기타 작물 재배업,,,,,1,"업종코드: 011006
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물 재배업
업종 세분류: 기타 작물 재배업
업종 세세분류 및 활동명: 기타 작물 재배업
연계 KSIC 11차 코드: 01140
연계 KSIC 11차 분류명: 기타 작물 재배업"
011007,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,기타 시설작물 재배업,01159,기타 시설작물 재배업,,,,콩나물 재배,1,"업종코드: 011007
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물 재배업
업종 세분류: 시설작물 재배업
업종 세세분류 및 활동명: 기타 시설작물 재배업
연계 KSIC 11차 코드: 01159
연계 KSIC 11차 분류명: 기타 시설작물 재배업
세부설명: 콩나물 재배"
011008,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업",01151,"채소, 화훼 및 과실작물 시설 재배업",,,,,1,"업종코드: 011008
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물 재배업
업종 세분류: 시설작물 재배업
업종 세세분류 및 활동명: 채소, 화훼 및 과실작물 시설 재배업
연계 KSIC 11차 코드: 01151
연계 KSIC 11차 분류명: 채소, 화훼 및 과실작물 시설 재배업"
011009,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,기타 시설작물 재배업,01159,기타 시설작물 재배업,01159,기타 시설작물 재배업,1,,1,"업종코드: 011009
업종 대분류: 농업, 임업 및 어업
업종 중분류: 농업
업종 소분류: 작물 재배업
업종 세분류: 시설작물 재배업
업종 세세분류 및 활동명: 기타 시설작물 재배업
연계 KSIC 11차 코드: 01159
연계 KSIC 11차 분류명: 기타 시설작물 재배업
주요 연계 KSIC 코드: 01159
주요 연계 KSIC 분류명: 기타 시설작물 재배업"
