doc_id,business_code,doc_type,doc_text
011000__name0,011000,name,곡물 및 기타 식량작물 재배업
011000__hier0,011000,hier,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 곡물 및 기타 식량작물 재배업"
011000__example0,011000,example,"벼, 보리, 밀, 수수 재배"
011000__example1,011000,example,"감자, 고구마 재배"
011000__example2,011000,example,메밀 재배
011000__example3,011000,example,"옥수수, 콩, 녹두 재배"
011000__xref0,011000,xref,곡물 및 기타 식량작물 재배
011001__name0,011001,name,채소작물 재배업
011001__hier0,011001,hier,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 채소, 화훼작물 및 종묘 재배업"
011001__example0,011001,example,"풋마늘, 마늘 및 풋고추 재배"
011001__example1,011001,example,파 및 양파 재배
011001__example2,011001,example,아스파라거스 재배
011001__example3,011001,example,잎채소 재배
011001__xref0,011001,xref,"멜론, 수박, 토마토 및 기타 과일채소 노지재배"
011002__name0,011002,name,화훼작물 재배업
011002__hier0,011002,hier,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 채소, 화훼작물 및 종묘 재배업"
011002__example0,011002,example,정원수 재배
011002__example1,011002,example,조원용 풀 재배
011002__example2,011002,example,절화용 화초 재배
011002__example3,011002,example,분재 재배
011002__xref0,011002,xref,조경수를 재배한 사업체가 식재를 하는 경우
011003__name0,011003,name,종자 및 묘목 생산업
011003__hier0,011003,hier,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 채소, 화훼작물 및 종묘 재배업"
011003__example0,011003,example,"채소, 화초, 과수 종자 생산"
011003__example1,011003,example,"채소, 화초, 과수 묘목 생산"
011003__example2,011003,example,버섯 종균 생산
011003__example3,011003,example,접수 및 삽수 묘목 생산
011003__example4,011003,example,화초 종근 생산
011003__example5,011003,example,벼 모판 생산
011003__xref0,011003,xref,작물의 종묘 생산
011003__xref1,011003,xref,채소작물 종자 및 묘목 생산
011003__xref2,011003,xref,화훼작물의 종자 및 묘목 생산
011003__xref3,011003,xref,노지 및 시설 내에서 종묘생산
011003__xref4,011003,xref,농업용 종자 재배업
011003__xref5,011003,xref,임업용 이외의 종묘 생산
011004__name0,011004,name,과실작물 재배업
011004__hier0,011004,hier,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 과실, 음료용 및 향신용 작물 재배업"
011004__example0,011004,example,"밤, 호두 및 대추 재배"
011004__example1,011004,example,"복숭아, 포도 및 감귤 재배"
011004__example2,011004,example,바나나 재배
011004__example3,011004,example,키위 및 망고스틴 재배
011004__example4,011004,example,무화과 재배
011004__xref0,011004,xref,"과실, 견과, 음료용 또는 향신용 작물 재배"
011005__name0,011005,name,음료용 및 향신용 작물 재배업
011005__hier0,011005,hier,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 과실, 음료용 및 향신용 작물 재배업"
011005__example0,011005,example,고추(풋고추 제외) 재배
011005__example1,011005,example,생강 재배
011005__example2,011005,example,정향 재배
011005__example3,011005,example,녹차용 작물 재배
011005__example4,011005,example,커피 재배
011005__example5,011005,example,코코아 재배
011005__xref0,011005,xref,"과실, 견과, 음료용 또는 향신용 작물 재배"
011005__xref1,011005,xref,음료용 및 향신용 작물 재배
011006__name0,011006,name,기타 작물 재배업
011006__hier0,011006,hier,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 기타 작물 재배업"
011006__example0,011006,example,인삼 재배
011006__example1,011006,example,호프 재배
011006__example2,011006,example,섬유작물 재배
011006__example3,011006,example,비 및 솔 제조용 작물 재배
011006__example4,011006,example,유지작물 재배
011006__example5,011006,example,조물재료용 작물 재배
011006__example6,011006,example,낙화생(땅콩) 재배
011006__example7,011006,example,잎담배 재배
011006__xref0,011006,xref,사료용 작물 재배
011006__xref1,011006,xref,유지(기름 추출용) 작물 재배
011006__xref2,011006,xref,재배한 고무나무에서 천연고무 라텍스액 채취
011006__xref3,011006,xref,재배 농가에서 자기 잎담배를 직접 건조할 경우
011007__name0,011007,name,기타 시설작물 재배업
011007__hier0,011007,hier,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 시설작물 재배업"
011007__desc0,011007,desc,콩나물 재배
011007__example0,011007,example,버섯 재배
011007__example1,011007,example,작물 배양 재배
011007__example2,011007,example,음료용 작물 시설재배
011007__example3,011007,example,공예작물 시설재배
011007__example4,011007,example,향신용 작물 시설재배
011007__xref0,011007,xref,시설작물 재배
011007__xref1,011007,xref,"콩나물, 버섯 및 기타 채소작물의 시설재배"
011007__xref2,011007,xref,"음료용 및 향신용, 공예용 작물 시설 재배"
011008__name0,011008,name,"채소, 화훼 및 과실작물 시설 재배업"
011008__hier0,011008,hier,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 시설작물 재배업"
011008__xref0,011008,xref,시설작물 재배
011008__xref1,011008,xref,"콩나물, 버섯 및 기타 채소작물의 시설재배"
011008__xref2,011008,xref,화훼작물의 시설재배
011008__xref3,011008,xref,화훼작물 시설 재배
011009__name0,011009,name,기타 시설작물 재배업
011009__hier0,011009,hier,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 시설작물 재배업"
011009__example0,011009,example,버섯 재배
011009__example1,011009,example,작물 배양 재배
011009__example2,011009,example,음료용 작물 시설재배
011009__example3,011009,example,공예작물 시설재배
011009__example4,011009,example,향신용 작물 시설재배
011009__example5,011009,example,콩나물 재배
011009__xref0,011009,xref,시설작물 재배
011009__xref1,011009,xref,"콩나물, 버섯 및 기타 채소작물의 시설재배"
011009__xref2,011009,xref,"음료용 및 향신용, 공예용 작물 시설 재배"
012101__name0,012101,name,육우 사육업
012101__hier0,012101,hier,"농업, 임업 및 어업 > 농업 > 축산업 > 소 사육업"
012101__xref0,012101,xref,사육활동에 결합된 동물성 물질 생산
012101__xref1,012101,xref,"동물을 번식, 증식, 사육하는 활동"
012102__name0,012102,name,말 및 양 사육업
012102__hier0,012102,hier,"농업, 임업 및 어업 > 농업 > 축산업 > 기타 축산업"
012102__example0,012102,example,양 사육
012102__example1,012102,example,양모 생산
012102__example2,012102,example,당나귀 사육
012102__example3,012102,example,양젖 생산
012102__example4,012102,example,말 사육
012102__xref0,012102,xref,사육활동에 결합된 동물성 물질 생산
012102__xref1,012102,xref,"동물을 번식, 증식, 사육하는 활동"
012103__name0,012103,name,"그 외 기타 축산업(사슴, 토끼)"
012103__hier0,012103,hier,"농업, 임업 및 어업 > 농업 > 축산업 > 기타 축산업"
012103__ksic0,012103,ksic,그 외 기타 축산업
012103__desc0,012103,desc,"사슴, 토끼"
012103__example0,012103,example,양봉업
012103__example1,012103,example,실험용 쥐 생산
012103__example2,012103,example,여우 및 곰 사육
012103__example3,012103,example,곤충류 사육
012103__example4,012103,example,"토끼, 개 및 사슴 사육"
012103__example5,012103,example,양잠업
012103__example6,012103,example,환형동물(지렁이 등) 사육
012103__xref0,012103,xref,사육활동에 결합된 동물성 물질 생산
012103__xref1,012103,xref,"동물을 번식, 증식, 사육하는 활동"
012104__name0,012104,name,젖소 사육업
012104__hier0,012104,hier,"농업, 임업 및 어업 > 농업 > 축산업 > 소 사육업"
012104__example0,012104,example,젖소 사육
012104__example1,012104,example,생우유 생산
012104__xref0,012104,xref,사육활동에 결합된 동물성 물질 생산
012104__xref1,012104,xref,"동물을 번식, 증식, 사육하는 활동"
012105__name0,012105,name,그 외 기타 축산업(개)
012105__hier0,012105,hier,"농업, 임업 및 어업 > 농업 > 축산업 > 기타 축산업"
012105__ksic0,012105,ksic,그 외 기타 축산업
012105__example0,012105,example,양봉업
012105__example1,012105,example,실험용 쥐 생산
012105__example2,012105,example,여우 및 곰 사육
012105__example3,012105,example,곤충류 사육
012105__example4,012105,example,"토끼, 개 및 사슴 사육"
012105__example5,012105,example,양잠업
012105__example6,012105,example,환형동물(지렁이 등) 사육
012105__xref0,012105,xref,사육활동에 결합된 동물성 물질 생산
012105__xref1,012105,xref,"동물을 번식, 증식, 사육하는 활동"
012201__name0,012201,name,양돈업
012201__hier0,012201,hier,"농업, 임업 및 어업 > 농업 > 축산업 > 양돈업"
012201__example0,012201,example,돼지 사육
012201__example1,012201,example,멧돼지 사육
