국세청_업종코드,국세청_대분류코드,국세청_대분류명,국세청_중분류코드,국세청_중분류명,국세청_소분류코드,국세청_소분류명,국세청_세분류코드,국세청_세분류명,국세청_세세분류명,KSIC_코드,KSIC_대분류코드,KSIC_대분류명,KSIC_중분류코드,KSIC_중분류명,KSIC_소분류코드,KSIC_소분류명,KSIC_세분류코드,KSIC_세분류명,KSIC_세세분류명,embedding_text
011000,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,01110,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0111,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 곡물 및 기타 식량작물 재배업"
011001,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,01121,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 채소, 화훼작물 및 종묘 재배업 > 채소작물 재배업"
011002,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업,01122,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 채소, 화훼작물 및 종묘 재배업 > 화훼작물 재배업"
011003,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업,01123,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 채소, 화훼작물 및 종묘 재배업 > 종자 및 묘목 생산업"
011004,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업,01131,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0113,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 과실, 음료용 및 향신용 작물 재배업 > 과실작물 재배업"
011005,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업,01132,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0113,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 과실, 음료용 및 향신용 작물 재배업 > 음료용 및 향신용 작물 재배업"
011006,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,기타 작물 재배업,기타 작물 재배업,01140,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0114,기타 작물 재배업,기타 작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 기타 작물 재배업"
011007,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,기타 시설작물 재배업,01159,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0115,시설작물 재배업,기타 시설작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 시설작물 재배업 > 기타 시설작물 재배업"
011008,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업",01151,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0115,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업","농업, 임업 및 어업 > 농업 > 작물 재배업 > 시설작물 재배업 > 채소, 화훼 및 과실작물 시설 재배업"
011009,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,기타 시설작물 재배업,01159,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0115,시설작물 재배업,기타 시설작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 시설작물 재배업 > 기타 시설작물 재배업"
012101,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,육우 사육업,01212,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,육우 사육업,"농업, 임업 및 어업 > 농업 > 축산업 > 소 사육업 > 육우 사육업"
012102,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,말 및 양 사육업,01291,A,"농업, 임업 및 어업",01,농업,012,축산업,0129,기타 축산업,말 및 양 사육업,"농업, 임업 및 어업 > 농업 > 축산업 > 기타 축산업 > 말 및 양 사육업"
012103,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,"그 외 기타 축산업(사슴, 토끼)",01299,A,"농업, 임업 및 어업",01,농업,012,축산업,0129,기타 축산업,그 외 기타 축산업,"농업, 임업 및 어업 > 농업 > 축산업 > 기타 축산업 > 그 외 기타 축산업 > 그 외 기타 축산업(사슴, 토끼)"
012104,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,젖소 사육업,01211,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,젖소 사육업,"농업, 임업 및 어업 > 농업 > 축산업 > 소 사육업 > 젖소 사육업"
012105,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,그 외 기타 축산업(개),01299,A,"농업, 임업 및 어업",01,농업,012,축산업,0129,기타 축산업,그 외 기타 축산업,"농업, 임업 및 어업 > 농업 > 축산업 > 기타 축산업 > 그 외 기타 축산업 > 그 외 기타 축산업(개)"
012201,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,양돈업,양돈업,01220,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,양돈업,양돈업,"농업, 임업 및 어업 > 농업 > 축산업 > 양돈업"
012202,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,가금류 및 조류 사육업,양계업,01231,A,"농업, 임업 및 어업",01,농업,012,축산업,0123,가금류 및 조류 사육업,양계업,"농업, 임업 및 어업 > 농업 > 축산업 > 가금류 및 조류 사육업 > 양계업"
012203,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,가금류 및 조류 사육업,기타 가금류 및 조류 사육업,01239,A,"농업, 임업 및 어업",01,농업,012,축산업,0123,가금류 및 조류 사육업,기타 가금류 및 조류 사육업,"농업, 임업 및 어업 > 농업 > 축산업 > 가금류 및 조류 사육업 > 기타 가금류 및 조류 사육업"
012204,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,기타 축산업,그 외 기타 축산업,01299,A,"농업, 임업 및 어업",01,농업,012,축산업,0129,기타 축산업,그 외 기타 축산업,"농업, 임업 및 어업 > 농업 > 축산업 > 기타 축산업 > 그 외 기타 축산업"
014300,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,축산 관련 서비스업,축산 관련 서비스업,01420,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0142,축산 관련 서비스업,축산 관련 서비스업,"농업, 임업 및 어업 > 농업 > 작물재배 및 축산 관련 서비스업 > 축산 관련 서비스업"
014301,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 복합농업,0143,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업,01300,A,"농업, 임업 및 어업",01,농업,013,작물재배 및 축산 복합농업,0130,작물재배 및 축산 복합농업,작물재배 및 축산 복합농업,"농업, 임업 및 어업 > 농업 > 작물재배 및 축산 복합농업"
014302,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,작물재배 관련 서비스업,작물재배 지원 서비스업,01411,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0141,작물재배 관련 서비스업,작물재배 지원 서비스업,"농업, 임업 및 어업 > 농업 > 작물재배 및 축산 관련 서비스업 > 작물재배 관련 서비스업 > 작물재배 지원 서비스업"
014303,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0143,작물재배 관련 서비스업,"농산물 건조, 선별 및 기타 수확 후 서비스업",01412,A,"농업, 임업 및 어업",01,농업,014,작물재배 및 축산 관련 서비스업,0141,작물재배 관련 서비스업,"농산물 건조, 선별 및 기타 수확 후 서비스업","농업, 임업 및 어업 > 농업 > 작물재배 및 축산 관련 서비스업 > 작물재배 관련 서비스업 > 농산물 건조, 선별 및 기타 수확 후 서비스업"
015000,A,"농업, 임업 및 어업",01,농업,015,수렵 및 관련 서비스업,0150,수렵 및 관련 서비스업,수렵 및 관련 서비스업,01500,A,"농업, 임업 및 어업",01,농업,015,수렵 및 관련 서비스업,0150,수렵 및 관련 서비스업,수렵 및 관련 서비스업,"농업, 임업 및 어업 > 농업 > 수렵 및 관련 서비스업"
020100,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,임업용 종묘 생산업,02011,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,임업용 종묘 생산업,"농업, 임업 및 어업 > 임업 > 영림업 > 임업용 종묘 생산업"
020101,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,육림업,02012,A,"농업, 임업 및 어업",02,임업,020,임업,0201,영림업,육림업,"농업, 임업 및 어업 > 임업 > 영림업 > 육림업"
020102,A,"농업, 임업 및 어업",02,임업,020,임업,0201,임산물 채취업,임산물 채취업,02030,A,"농업, 임업 및 어업",02,임업,020,임업,0203,임산물 채취업,임산물 채취업,"농업, 임업 및 어업 > 임업 > 임산물 채취업"
020200,A,"농업, 임업 및 어업",02,임업,020,임업,0202,벌목업,벌목업,02020,A,"농업, 임업 및 어업",02,임업,020,임업,0202,벌목업,벌목업,"농업, 임업 및 어업 > 임업 > 벌목업"
020300,A,"농업, 임업 및 어업",02,임업,020,임업,0203,임업 관련 서비스업,임업 관련 서비스업,02040,A,"농업, 임업 및 어업",02,임업,020,임업,0204,임업 관련 서비스업,임업 관련 서비스업,"농업, 임업 및 어업 > 임업 > 임업 관련 서비스업"
