business_code,business_name,hierarchy_path,biz_large_name,biz_middle_name,biz_small_name,biz_sub_name,linked_ksic_codes,linked_ksic_names,definition,include_activities,exclude_activities,detail_description,representative_items,activity_terms,synonyms,ksic_version,has_haeseol
011000,곡물 및 기타 식량작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 곡물 및 기타 식량작물 재배업","농업, 임업 및 어업",농업,작물 재배업,곡물 및 기타 식량작물 재배업,01110,곡물 및 기타 식량작물 재배업,"곡물작물, 식량용 뿌리작물, 콩과 작물 및 기타 식량작물을 재배하는 산업활동을 말한다.","벼, 보리, 밀, 수수 재배|감자, 고구마 재배|메밀 재배|옥수수, 콩, 녹두 재배","작물의 종묘 생산|시설작물 재배|사료용 작물 재배|과실, 견과, 음료용 또는 향신용 작물 재배",,"벼, 보리, 밀, 수수|감자, 고구마|메밀|옥수수, 콩, 녹두",재배,,KSIC 11차 (2024),True
011001,채소작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 채소, 화훼작물 및 종묘 재배업 > 채소작물 재배업","농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",01121,채소작물 재배업,노지에서 각종 채소작물을 재배하는 산업활동을 말한다. 노지에서 깻 잎 등과 같이 채소로 사용하기 위하여 각종 작물을 재배하는 경우에 도 여기에 분류된다.,"풋마늘, 마늘 및 풋고추 재배|파 및 양파 재배|아스파라거스 재배|잎채소 재배","채소작물 종자 및 묘목 생산|콩나물, 버섯 및 기타 채소작물의 시설재배",,"풋마늘, 마늘 및 풋고추|파 및 양파|아스파라거스|잎채소",재배,,KSIC 11차 (2024),True
011002,화훼작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 채소, 화훼작물 및 종묘 재배업 > 화훼작물 재배업","농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",01122,화훼작물 재배업,"노지에서 화초, 잔디, 관상수 등과 같은 장식, 관상, 조원 및 조경용의 수목․ 꽃․풀 등을 재배하는 산업활동을 말한다.",정원수 재배|조원용 풀 재배|절화용 화초 재배|분재 재배,화훼작물의 종자 및 묘목 생산|화훼작물의 시설재배|공원에 화훼작물 식재 및 관리 활동,,정원수|조원용 풀|절화용 화초|분재,재배,,KSIC 11차 (2024),True
011003,종자 및 묘목 생산업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 채소, 화훼작물 및 종묘 재배업 > 종자 및 묘목 생산업","농업, 임업 및 어업",농업,작물 재배업,"채소, 화훼작물 및 종묘 재배업",01123,종자 및 묘목 생산업,"노지 또는 시설에서 각종 농작물의 종자, 버섯 종균, 묘목 등을 생산 하는 산업활동을 말한다.","채소, 화초, 과수 종자 생산|채소, 화초, 과수 묘목 생산|버섯 종균 생산|접수 및 삽수 묘목 생산|화초 종근 생산|벼 모판 생산",육림용 종자 및 묘목 생산|종균 없는 버섯재배용 배지 혼합|발효생산|종균 없는 버섯재배용 배지 단순 혼합 생산|판매(G|공원에 화훼작물 식재 및 관리 활동,,"채소, 화초, 과수 종자|채소, 화초, 과수 묘목|버섯 종균|접수 및 삽수 묘목|화초 종근|벼 모판",생산,,KSIC 11차 (2024),True
011004,과실작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 과실, 음료용 및 향신용 작물 재배업 > 과실작물 재배업","농업, 임업 및 어업",농업,작물 재배업,"과실, 음료용 및 향신용 작물 재배업",01131,과실작물 재배업,노지에서 견과(땅콩 제외)를 포함한 각종 과실작물을 재배하는 산업 활동을 말한다.,"밤, 호두 및 대추 재배|복숭아, 포도 및 감귤 재배|바나나 재배|키위 및 망고스틴 재배|무화과 재배","호프 재배|낙화생(땅콩) 재배|유지(기름 추출용) 작물 재배|멜론, 수박, 토마토 및 기타 과일채소 노지재배",,"밤, 호두 및 대추|복숭아, 포도 및 감귤|바나나|키위 및 망고스틴|무화과",재배,,KSIC 11차 (2024),True
011005,음료용 및 향신용 작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 과실, 음료용 및 향신용 작물 재배업 > 음료용 및 향신용 작물 재배업","농업, 임업 및 어업",농업,작물 재배업,"과실, 음료용 및 향신용 작물 재배업",01132,음료용 및 향신용 작물 재배업,노지에서 음료용 또는 향신용 작물을 재배하는 산업활동을 말한다.,고추(풋고추 제외) 재배|생강 재배|정향 재배|녹차용 작물 재배|커피 재배|코코아 재배,"커피 가공, 차류 가공|향신료 가공",,고추(풋고추 제외)|생강|정향|녹차용 작물|커피|코코아,재배,,KSIC 11차 (2024),True
011006,기타 작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 기타 작물 재배업","농업, 임업 및 어업",농업,작물 재배업,기타 작물 재배업,01140,기타 작물 재배업,"노지에서 약용작물, 사료작물, 기름추출용 작물 및 공업용 원료작물 등 달리 분류되지 않은 기타 작물을 재배하는 산업활동을 말한다.",인삼 재배|호프 재배|섬유작물 재배|비 및 솔 제조용 작물 재배|유지작물 재배|조물재료용 작물 재배|낙화생(땅콩) 재배|잎담배 재배,곡물 및 기타 식량작물 재배|음료용 및 향신용 작물 재배|작물 배양 재배,,인삼|호프|섬유작물|비 및 솔 제조용 작물|유지작물|조물재료용 작물|낙화생(땅콩)|잎담배,재배|제조,,KSIC 11차 (2024),True
011007,기타 시설작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 시설작물 재배업 > 기타 시설작물 재배업","농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,01159,기타 시설작물 재배업,"채소, 화훼 및 과실작물 이외의 각종 작물을 시설 재배하는 산업활동 을 말한다. 농업, 임업 및 어업 ，",버섯 재배|작물 배양 재배|음료용 작물 시설재배|공예작물 시설재배|향신용 작물 시설재배|콩나물 재배,화훼작물 시설 재배|노지 및 시설 내에서 종묘생산,콩나물 재배,버섯|작물 배양|음료용 작물 시설|공예작물 시설|향신용 작물 시설|콩나물,재배|어업,,KSIC 11차 (2024),True
011008,"채소, 화훼 및 과실작물 시설 재배업","농업, 임업 및 어업 > 농업 > 작물 재배업 > 시설작물 재배업 > 채소, 화훼 및 과실작물 시설 재배업","농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,01151,"채소, 화훼 및 과실작물 시설 재배업","시설 내에서 채소, 화훼 및 과실작물을 재배하는 산업활동을 말한다.",,"음료용 및 향신용, 공예용 작물 시설 재배",,"채소, 화훼 및 과실작물 시설 재배업",재배,,KSIC 11차 (2024),True
011009,기타 시설작물 재배업,"농업, 임업 및 어업 > 농업 > 작물 재배업 > 시설작물 재배업 > 기타 시설작물 재배업","농업, 임업 및 어업",농업,작물 재배업,시설작물 재배업,01159,기타 시설작물 재배업,"채소, 화훼 및 과실작물 이외의 각종 작물을 시설 재배하는 산업활동 을 말한다. 농업, 임업 및 어업 ，",버섯 재배|작물 배양 재배|음료용 작물 시설재배|공예작물 시설재배|향신용 작물 시설재배|콩나물 재배,화훼작물 시설 재배|노지 및 시설 내에서 종묘생산,,버섯|작물 배양|음료용 작물 시설|공예작물 시설|향신용 작물 시설|콩나물,재배|어업,,KSIC 11차 (2024),True
